,convergence,iterations,fitness evaluations,average fitness
0,True,0,200,0.18894931457431458
1,True,0,200,0.1985420274170274
2,True,52,564,0.248625
3,True,87,809,0.27375
4,True,0,200,0.1963393967143967
5,True,0,200,0.19166154188948303
6,True,77,739,0.25800000000000006
7,True,106,942,0.27449999999999997
8,True,370,2790,0.3764166666666667
9,True,0,200,0.20007022144522146
10,True,32,424,0.23196428571428573
11,True,0,200,0.2007019459298871
12,True,206,1642,0.3155833333333334
13,True,114,998,0.26825000000000004
14,True,0,200,0.19852435064935064
15,True,14,298,0.2192003968253968
16,True,57,599,0.24983333333333335
17,True,0,200,0.20218463480963478
18,True,0,200,0.19189494737288854
19,True,145,1215,0.28858333333333336
20,True,370,2790,0.3761309523809524
21,True,0,200,0.1918032980091804
22,True,12,284,0.20871031746031746
23,True,246,1922,0.33266666666666667
24,True,100,900,0.27183333333333337
25,True,42,494,0.23960714285714288
26,True,0,200,0.19462786723080838
27,True,0,200,0.18391425241425238
28,True,112,984,0.27425000000000005
29,True,0,200,0.19819190020505809
